capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
317520 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.054355261 1.056600606 1.049596223 1.055519430 1.047710317 1.047968463 1.035958825 1.025305980 1.025305980 1.025518218 1.025518218 1.023338579
335160 1.079618821 0.975274784 0.975274784 0.104344037	0.975299215 1.003616921 1.012084349 1.005674831 1.009803971 1.003058485 1.003672221 0.989096325 0.982534659 0.982534659 0.984035604 0.984035604 0.981570746
176400 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.117201281 1.117579239 1.120614674 1.117361170 1.119887966 1.120175223 1.116285466 1.116049399 1.116049399 1.115856553 1.115856553 1.116246211
194040 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.117201281 1.117579239 1.120614674 1.117361170 1.119887966 1.120175223 1.116285466 1.116049399 1.116049399 1.115856553 1.115856553 1.116246211
211680 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.117201281 1.117579239 1.120388756 1.117361170 1.119887966 1.120175223 1.115881629 1.115328065 1.115328065 1.115713660 1.115713660 1.115983535
229320 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.116769089 1.116913703 1.118337428 1.116565708 1.118310558 1.118106550 1.110908198 1.110046667 1.110046667 1.114092986 1.114092986 1.108391337
246960 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.113761921 1.115531876 1.109713175 1.115390209 1.109345122 1.109878372 1.098125757 1.095352981 1.095352981 1.105464769 1.105464769 1.094967431
264600 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.111379730 1.114623052 1.103096843 1.114280344 1.103346736 1.102733036 1.098231366 1.093392638 1.093392638 1.088562333 1.088562333 1.090264297
282240 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.111379730 1.114623052 1.103096843 1.114280344 1.103346736 1.102733036 1.097640521 1.092923333 1.092923333 1.088406448 1.088406448 1.089560043
299880 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.109993289 1.112923748 1.102315365 1.112860393 1.102211739 1.101615031 1.090769953 1.085017335 1.085017335 1.081569466 1.081569466 1.081367860
317520 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.095850237 1.098110307 1.090793999 1.097825068 1.090158328 1.089663555 1.076889317 1.070084561 1.070084561 1.066862502 1.066862502 1.064951352
335160 1.123667329 1.017617262 1.017617262 0.106050067	1.017642630 1.048085968 1.050562837 1.048255470 1.049363726 1.047009203 1.045542398 1.029876695 1.022903493 1.022903493 1.023153966 1.023153966 1.021954145
176400 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.134314436 1.134021785 1.136753791 1.134052912 1.136441885 1.136633913 1.133376698 1.133213084 1.133213084 1.133679177 1.133679177 1.133365835
194040 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.134314436 1.134021785 1.136753791 1.134052912 1.136441885 1.136633913 1.133376698 1.133213084 1.133213084 1.133679177 1.133679177 1.133365835
211680 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.134314436 1.134021785 1.136753791 1.134052912 1.136441885 1.136633913 1.133379812 1.133040890 1.133040890 1.133679177 1.133679177 1.133170023
229320 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.133788230 1.133874272 1.135261423 1.133810575 1.135551246 1.135400283 1.129057958 1.127744009 1.127744009 1.131652311 1.131652311 1.127313306
246960 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.131786264 1.131378444 1.127873882 1.131384218 1.126918815 1.125850675 1.119625487 1.114457311 1.114457311 1.121922012 1.121922012 1.110350907
264600 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.129499869 1.130785271 1.121036865 1.130676198 1.120504714 1.120348819 1.117199999 1.112484315 1.112484315 1.106915893 1.106915893 1.105543645
282240 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.129499869 1.130785271 1.121036865 1.130676198 1.120504714 1.120348819 1.117199999 1.112321169 1.112321169 1.106752747 1.106752747 1.105380499
299880 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.128487006 1.127875716 1.119693496 1.128032660 1.119682032 1.119350020 1.111695341 1.105154594 1.105154594 1.100205412 1.100205412 1.097998331
317520 1.139686578 1.039857474 1.039857474 0.099829104	1.039880422 1.115733648 1.117220703 1.110742852 1.117437597 1.109125807 1.108595328 1.096490867 1.089204661 1.089204661 1.085866699 1.085866699 1.085297340
