capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR
176400 1.103018111 0.999876251 0.999876251 0.103141860 0.999898032 1.096885415 1.099689776 1.100998833 1.096639747 1.098903914 1.096542484 1.099951492 1.099702700 1.095576210 1.095466728 1.095466728 1.095879861 1.095879861 1.096113702  
198450 1.103018111 0.999876251 0.999876251 0.103141860 0.999898032 1.096885415 1.099689776 1.101221848 1.096639747 1.098903914 1.096542484 1.099951492 1.099702700 1.095595830 1.095328464 1.095328464 1.095879861 1.095879861 1.096113702  
242550 1.103018111 0.999876251 0.999876251 0.103141860 0.999898032 1.095563015 1.094960798 1.094054221 1.096431198 1.093188200 1.096204948 1.093106078 1.093021579 1.078323081 1.074367592 1.074367592 1.088651770 1.088651770 1.073025567  
264600 1.103018111 0.999876251 0.999876251 0.103141860 0.999898032 1.091634032 1.084126790 1.076030021 1.093654632 1.082432482 1.094694655 1.080476320 1.080599352 1.078195971 1.069548632 1.069548632 1.065458989 1.065458989 1.066925247  
286650 1.103018111 0.999876251 0.999876251 0.103141860 0.999898032 1.091634032 1.084010047 1.077373335 1.093169210 1.082432482 1.094209233 1.080476320 1.080599352 1.077261491 1.067918554 1.067918554 1.064118430 1.064118430 1.065361604  
308700 1.103018111 0.999876251 0.999876251 0.103141860 0.999898032 1.083740261 1.076640326 1.071241952 1.084587206 1.074870689 1.085640662 1.075013364 1.075017275 1.059581208 1.049221648 1.049221648 1.049560774 1.049560774 1.047551473  
330750 1.103018111 0.999876251 0.999876251 0.103141860 0.999898032 1.039853089 1.040328229 1.034484670 1.043153368 1.038660912 1.042912164 1.038153729 1.038269839 1.014668038 1.002878221 1.002878221 1.011477942 1.011477942 1.004764452  
352800 1.103018111 0.999876251 0.999876251 0.103141860 0.999898032 1.001934650 0.999914653 1.005907758 1.002958485 1.003011841 1.003194437 1.001198840 1.001225685 1.002035462 1.001848716 1.001848716 1.002707351 1.002707351 1.003806192  
176400 1.135428515 1.034249867 1.034249867 0.101178648 1.034272635 1.129511098 1.131655947 1.133503735 1.129583420 1.132555386 1.129571800 1.131668573 1.131862801 1.128052154 1.128052654 1.128052654 1.128171447 1.128171447 1.128119912  
198450 1.135428515 1.034249867 1.034249867 0.101178648 1.034272635 1.129511098 1.131655947 1.132797356 1.129583420 1.132555386 1.129571800 1.131668573 1.131862801 1.128052154 1.128052654 1.128052654 1.128171447 1.128171447 1.128119912  
242550 1.135428515 1.034249867 1.034249867 0.101178648 1.034272635 1.126047754 1.125193714 1.124709146 1.128433028 1.125419660 1.127608477 1.122346894 1.122751220 1.110699821 1.105065577 1.105065577 1.121986974 1.121986974 1.106778482  
264600 1.135428515 1.034249867 1.034249867 0.101178648 1.034272635 1.122884311 1.117173705 1.108506809 1.126403772 1.114066795 1.125185907 1.114983653 1.114708019 1.109959274 1.103156452 1.103156452 1.100532865 1.100532865 1.101040593  
286650 1.135428515 1.034249867 1.034249867 0.101178648 1.034272635 1.122724823 1.116990879 1.108057277 1.126237730 1.114066795 1.125019865 1.114462573 1.114129412 1.108749478 1.101578147 1.101578147 1.099122816 1.099122816 1.099286618  
308700 1.135428515 1.034249867 1.034249867 0.101178648 1.034272635 1.115684483 1.109933274 1.100714932 1.118469071 1.108021230 1.116647590 1.109207443 1.109033107 1.094742944 1.084182358 1.084182358 1.085993874 1.085993874 1.083968888  
330750 1.135428515 1.034249867 1.034249867 0.101178648 1.034272635 1.070856653 1.068033692 1.065730373 1.076260959 1.073296496 1.074756386 1.068904766 1.069166145 1.047368461 1.037438389 1.037438389 1.042819296 1.042819296 1.038827558  
352800 1.135428515 1.034249867 1.034249867 0.101178648 1.034272635 1.036216278 1.034274494 1.040448999 1.038721593 1.038871739 1.037701413 1.036212534 1.036199868 1.036244909 1.036216278 1.036216278 1.037889275 1.037889275 1.038224758  
176400 1.065476874 0.964409973 0.964409973 0.101066901 0.964432381 1.059996469 1.062099560 1.064273406 1.059797141 1.062672719 1.059699955 1.062437241 1.062485014 1.058726920 1.058700921 1.058700921 1.058911156 1.058911156 1.058999448  
198450 1.065476874 0.964409973 0.964409973 0.101066901 0.964432381 1.059996469 1.062099560 1.063710204 1.059797141 1.062672719 1.059699955 1.062437241 1.062485014 1.058726920 1.058700921 1.058700921 1.058911156 1.058911156 1.058999448  
