#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1255 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 1.962204106 1.964686324 1.962298078 1.961175060 1.955782671 1.954839920 1.902413753 1.879259607 1.879259607 1.890187469 1.890187469 1.890504726
1344 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 1.938715810 1.942822287 1.939979805 1.938874352 1.931357433 1.930604014 1.891545329 1.878290903 1.878290903 1.885432803 1.885432803 1.888998737
1433 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 1.918699221 1.922339910 1.921254365 1.919180581 1.910719933 1.910343153 1.885933644 1.877383068 1.877383068 1.881024874 1.881024874 1.888660398
1522 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 1.902589732 1.906545192 1.907326476 1.902086160 1.895069122 1.895333517 1.880719444 1.877914648 1.877914648 1.878711225 1.878711225 1.887883615
1611 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 1.892284857 1.896033846 1.895311822 1.889541931 1.883706678 1.883632312 1.878700484 1.876744387 1.876744387 1.878002551 1.878002551 1.887079906
1700 2.218345827 1.872706555 1.872706555 0.345639272	1.872716751 1.884945505 1.889157352 1.888230118 1.882141171 1.877081274 1.877053604 1.876069500 1.876850283 1.876850283 1.877379559 1.877379559 1.886135164
899 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 2.053985542 2.053038677 2.051532348 2.051746588 2.051308633 2.052097549 1.943342032 1.911160427 1.911160427 1.914719849 1.914719849 1.915914452
988 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 2.019152899 2.019659588 2.017493203 2.018775835 2.017519083 2.019737322 1.920369723 1.878362051 1.878362051 1.883266878 1.883266878 1.881730712
1077 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 1.984658135 1.985790198 1.983325182 1.984569460 1.980452843 1.981053069 1.899601235 1.853044662 1.853044662 1.881139003 1.881139003 1.870747176
1166 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 1.955093614 1.956749364 1.955441569 1.953354444 1.950504765 1.951795853 1.881945936 1.848393384 1.848393384 1.867934009 1.867934009 1.860726193
1255 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 1.926778559 1.929084653 1.931195314 1.925984840 1.923865862 1.924476486 1.868377493 1.846580667 1.846580667 1.858443458 1.858443458 1.856082686
1344 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 1.904294035 1.907488666 1.908260517 1.904500042 1.899992662 1.900027714 1.858027867 1.845916182 1.845916182 1.851728579 1.851728579 1.855253247
1433 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 1.884843684 1.888933083 1.887945683 1.885027290 1.879015943 1.879914842 1.851937126 1.846026748 1.846026748 1.847736829 1.847736829 1.854172885
1522 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 1.869535405 1.874183826 1.872918398 1.870009954 1.863579324 1.863965278 1.847516834 1.845261612 1.845261612 1.846121731 1.846121731 1.853443274
1611 2.179423645 1.840944123 1.840944123 0.338479522	1.840955131 1.859065020 1.864133832 1.861702406 1.858161745 1.854500599 1.853174136 1.846475004 1.844466890 1.844466890 1.845338889 1.845338889 1.853451070
