capacity sum_comm_comp max(sum_comm,sum_comp) sum_comm sum_comp OMIM OS GG BP OOSIM IOCMS DOCPS IOCCS DOCCS LCMR SCMR MAMR OOLCMR OOSCMR OOMAMR  
2754066432 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2932.293647680 2802.241520779 2811.370787846 2908.779317685 2858.756337908 2941.183072261 2857.114099658 2837.760637678 2776.162434762 2904.889936345 2904.889936345 2814.698756289 2814.698756289 2908.257775042  
2983571968 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2868.232545318 2792.720583357 2892.903641498 2908.779317685 2854.561229660 2931.811158040 2857.114099658 2837.760637678 2777.374275048 2904.771561733 2904.771561733 2779.398753243 2779.398753243 2875.226743142  
3213077504 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2837.302229138 2770.564666074 2834.947333122 2895.987552854 2825.352771192 2928.414258259 2856.318409079 2787.372904626 2815.917319984 2866.655582206 2866.655582206 2796.221073578 2796.221073578 2843.741900217  
3442583040 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2837.195244462 2760.733843161 2820.765385963 2890.490459424 2790.606167401 2921.658399398 2856.318409079 2766.619944931 2772.975349342 2869.218548667 2869.218548667 2799.615694716 2799.615694716 2867.796691660  
3672088576 3414.396742274 2756.211472216 2756.211472216 658.185270058 2756.211483920 2793.590537125 2756.211483920 2824.053534012 2880.932601528 2790.606167401 2915.701722372 2850.658852625 2761.314829701 2772.975349342 2869.148731020 2869.148731020 2788.361551559 2788.361551559 2822.298997560  
1836044288 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2623.801341779 2607.697996830 2663.934482930 2635.627764225 2668.760734643 2673.430992915 2658.737558888 2609.948518311 2638.767816679 2662.987155273 2662.987155273 2610.635301929 2610.635301929 2630.842498044  
2065549824 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2608.566680871 2607.697996830 2650.697222179 2626.589642223 2666.264040754 2670.436216083 2658.737558888 2609.805712245 2638.481578897 2665.202035695 2665.202035695 2607.698024184 2607.698024184 2622.768026593  
2524560896 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2608.112702450 2607.697996830 2607.832186234 2609.695233201 2661.690148006 2625.445634303 2639.474988902 2609.634274742 2638.481578897 2668.690068686 2668.690068686 2607.698039553 2607.698039553 2607.697996830  
2754066432 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2608.112702450 2607.697996830 2613.721767026 2609.686471747 2655.769372249 2619.858219583 2639.474988902 2609.634274742 2638.481578897 2666.966706130 2666.966706130 2607.698029829 2607.698029829 2607.697996830  
2983571968 2954.606362650 2607.697985021 2607.697985021 346.908377629 2607.697996830 2608.112702450 2607.697996830 2608.076352780 2609.404172927 2645.791954994 2619.858219583 2639.474988902 2609.634274742 2638.481578897 2668.820771373 2668.820771373 2607.698023206 2607.698023206 2607.697996830  
