#capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
53240 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.246894089 1.248899840 1.255870719 1.247530787 1.250980435 1.251687741 1.219769142 1.219836476 1.219836476 1.222999029 1.222999029 1.224051874
58080 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.246154494 1.247406561 1.252243332 1.246031814 1.247713859 1.248433156 1.218724126 1.218350195 1.218350195 1.220985637 1.220985637 1.223877310
62920 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.230589570 1.232384088 1.225956459 1.231621515 1.222047776 1.222307640 1.178665615 1.150705794 1.150705794 1.210318964 1.210318964 1.166566895
67760 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.213467062 1.220342687 1.191079430 1.218711639 1.193045261 1.192147590 1.174031157 1.146433415 1.146433415 1.195207235 1.195207235 1.156208269
72600 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.207531149 1.213447700 1.181906468 1.210959967 1.183692920 1.183065651 1.164736583 1.135682662 1.135682662 1.150852753 1.150852753 1.146912793
77440 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.198008410 1.202180984 1.169462424 1.198517747 1.171244471 1.170555118 1.160983002 1.130797413 1.130797413 1.141481038 1.141481038 1.142938129
82280 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.157718761 1.164037313 1.138010873 1.161472844 1.135093957 1.134769405 1.072429550 1.017280889 1.017280889 1.049152590 1.049152590 1.038606976
87120 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 1.029951943 1.035222226 1.019631395 1.031540141 1.006105103 1.006035219 0.975447622 0.960127936 0.960127936 0.959419500 0.959419500 0.975763616
91960 1.272939130 0.926162968 0.926162968 0.346776162	0.926173097 0.973245887 0.975961515 0.971332387 0.973178868 0.948744182 0.948812918 0.961861342 0.959101418 0.959101418 0.956315220 0.956315220 0.968013856
48400 1.260362709 0.895518306 0.895518306 0.364844403	0.895528568 1.235233183 1.238410573 1.249481593 1.236404522 1.244867477 1.244248455 1.218288777 1.217592634 1.217592634 1.220935197 1.220935197 1.221523936
