capacity sum_comm_cmp max(sum_comm,sum_comp) sum_comm sum_comp	optimal_time_infinite_case order_of_submission order_of_optimal_strategy_infinite_memory increasing_order_of_communication_strategy decreasing_order_of_computation_strategy increasing_order_of_communication_plus_computation_strategy decreasing_order_of_communication_plus_computation_strategy largest_communication_task_respects_memory_restriction smallest_communication_task_respects_memory_restriction maximum_accelerated_task_respects_memory_restriction optimal_order_infinite_memory_largest_communication_task_respects_memory_restriction optimal_order_infinite_memory_smallest_communication_task_respects_memory_restriction optimal_order_infinite_memory_maximum_accelerated_task_respects_memory_restriction
1255 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2047.638833427 1967.468718733 2006.433925862 2022.944457407 1991.308871973 1965.520354880 2008.624355687 1976.242516249 1976.242516249 1925.987508678 1925.987508678 1987.905080918
1344 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2037.254570703 1964.902111024 1991.865390036 2008.694739278 1989.585718399 1964.242759050 1982.995381023 2001.752764231 2001.752764231 1919.896897707 1919.896897707 1984.749329479
1433 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2034.810724371 1957.519230599 1990.083809316 1993.325745350 1988.237231105 1949.113911955 1978.902096969 1976.242706494 1976.242706494 1915.242207995 1915.242207995 1969.942956598
1522 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2030.136149140 1943.371831170 1982.665356072 1981.929497135 1982.004999932 1942.692244957 1971.111999229 1975.790963054 1975.790963054 1914.683271660 1914.683271660 1931.276259308
1611 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2018.582652364 1941.530847989 1976.246767539 1980.087690621 1970.238593197 1931.412071989 1971.826494067 1976.029585026 1976.029585026 1912.315273092 1912.315273092 1933.556203599
1700 2232.119383753 1910.907138328 1910.907138328 321.212245425	1910.907149598 2017.648066172 1939.960142839 1976.143359347 1974.385043309 1970.238048562 1931.400408209 1972.733165842 1976.731011317 1976.731011317 1913.846543117 1913.846543117 1929.016018610
899 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 4134.928867962 4065.845176438 4081.618683357 4040.884296571 4106.479912701 3997.437744403 3770.739586547 4018.856752987 4018.856752987 3702.743476420 3702.743476420 3858.648500303
988 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3979.776407483 3983.576937985 3936.094410183 3917.954241906 3937.230293695 3800.692438311 3729.383670093 4076.466859803 4076.466859803 3454.496757445 3454.496757445 3829.414011701
1077 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3946.639014872 3864.888835747 3903.648763140 3859.981725998 3861.593133241 3739.269709270 3681.138074441 3862.967981962 3862.967981962 3449.700890791 3449.700890791 3716.913040681
1166 4281.440875539 3281.296731670 3281.296731670 1000.144143869	3281.296743383 3938.792768626 3862.659161763 3888.434894986 3813.309632229 3786.414286772 3730.739207459 3658.183521080 3704.253586370 3704.253586370 3378.488299140 3378.488299140 3679.142646308
